0,Off,LLN0.Zero.mag.f
1D80,SRC 1 Frequency,ACsrcMMXU1.Hz.instMag.f
1A15,SRC 1 Phase AB Voltage Magnitude,ACsrcMMXU1.PPV.phsAB.instCVal.mag.f
1A17,SRC 1 Phase AB Voltage Angle,ACsrcMMXU1.PPV.phsAB.instCVal.ang.f
1A18,SRC 1 Phase BC Voltage Magnitude,ACsrcMMXU1.PPV.phsBC.instCVal.mag.f
1A1A,SRC 1 Phase BC Voltage Angle,ACsrcMMXU1.PPV.phsBC.instCVal.ang.f
1A1B,SRC 1 Phase CA Voltage Magnitude,ACsrcMMXU1.PPV.phsCA.instCVal.mag.f
1A1D,SRC 1 Phase CA Voltage Angle,ACsrcMMXU1.PPV.phsCA.instCVal.ang.f
1A0F,SRC 1 Phase AB Voltage RMS,ACsrcMMXU1.VabRMS.instMag.f
1A11,SRC 1 Phase BC Voltage RMS,ACsrcMMXU1.VbcRMS.instMag.f
1A13,SRC 1 Phase CA Voltage RMS,ACsrcMMXU1.VcaRMS.instMag.f
1A06,SRC 1 Phase AG Voltage Magnitude,ACsrcMMXU1.PhV.phsA.instCVal.mag.f
1A08,SRC 1 Phase AG Voltage Angle,ACsrcMMXU1.PhV.phsA.instCVal.ang.f
1A09,SRC 1 Phase BG Voltage Magnitude,ACsrcMMXU1.PhV.phsB.instCVal.mag.f
1A0B,SRC 1 Phase BG Voltage Angle,ACsrcMMXU1.PhV.phsB.instCVal.ang.f
1A0C,SRC 1 Phase CG Voltage Magnitude,ACsrcMMXU1.PhV.phsC.instCVal.mag.f
1A0E,SRC 1 Phase CG Voltage Angle,ACsrcMMXU1.PhV.phsC.instCVal.ang.f
1A00,SRC 1 Phase AG Voltage RMS,ACsrcMMXU1.VaRMS.instMag.f
1A02,SRC 1 Phase BG Voltage RMS,ACsrcMMXU1.VbRMS.instMag.f
1A04,SRC 1 Phase CG Voltage RMS,ACsrcMMXU1.VcRMS.instMag.f
1808,SRC 1 Phase A Current Magnitude,ACsrcMMXU1.A.phsA.instCVal.mag.f
180A,SRC 1 Phase A Current Angle,ACsrcMMXU1.A.phsA.instCVal.ang.f
180B,SRC 1 Phase B Current Magnitude,ACsrcMMXU1.A.phsB.instCVal.mag.f
180D,SRC 1 Phase B Current Angle,ACsrcMMXU1.A.phsB.instCVal.ang.f
180E,SRC 1 Phase C Current Magnitude,ACsrcMMXU1.A.phsC.instCVal.mag.f
1810,SRC 1 Phase C Current Angle,ACsrcMMXU1.A.phsC.instCVal.ang.f
1811,SRC 1 Neutral Current Magnitude,ACsrcMMXU1.A.res.instCVal.mag.f
1813,SRC 1 Neutral Current Angle,ACsrcMMXU1.A.res.instCVal.ang.f
1800,SRC 1 Phase A Current RMS,ACsrcMMXU1.AaRMS.instMag.f
1802,SRC 1 Phase B Current RMS,ACsrcMMXU1.AbRMS.instMag.f
1804,SRC 1 Phase C Current RMS,ACsrcMMXU1.AcRMS.instMag.f
1806,SRC 1 Neutral Current RMS,ACsrcMMXU1.AresRMS.instMag.f
1822,SRC 1 Differential Ground Current Magnitude,ACsrcMMXU1.Adif.instCVal.mag.f
1824,SRC 1 Differential Ground Current Angle,ACsrcMMXU1.Adif.instCVal.ang.f
1C02,SRC 1 Phase A Real Power,ACsrcMMXU1.W.phsA.instCVal.mag.f
1C04,SRC 1 Phase B Real Power,ACsrcMMXU1.W.phsB.instCVal.mag.f
1C06,SRC 1 Phase C Real Power,ACsrcMMXU1.W.phsC.instCVal.mag.f
1C0A,SRC 1 Phase A Reactive Power,ACsrcMMXU1.VAr.phsA.instCVal.mag.f
1C0C,SRC 1 Phase B Reactive Power,ACsrcMMXU1.VAr.phsB.instCVal.mag.f
1C0E,SRC 1 Phase C Reactive Power,ACsrcMMXU1.VAr.phsC.instCVal.mag.f
1C12,SRC 1 Phase A Apparent Power,ACsrcMMXU1.VA.phsA.instCVal.mag.f
1C14,SRC 1 Phase B Apparent Power,ACsrcMMXU1.VA.phsB.instCVal.mag.f
1C16,SRC 1 Phase C Apparent Power,ACsrcMMXU1.VA.phsC.instCVal.mag.f
1C19,SRC 1 Phase A Power Factor,ACsrcMMXU1.PF.phsA.instCVal.mag.f
1C1A,SRC 1 Phase B Power Factor,ACsrcMMXU1.PF.phsB.instCVal.mag.f
1C1B,SRC 1 Phase C Power Factor,ACsrcMMXU1.PF.phsC.instCVal.mag.f
1C20,SRC 2 Three Phase Real Power,ACsrcMMXU2.TotW.instMag.f
1C28,SRC 2 Three Phase Reactive Power,ACsrcMMXU2.TotVAr.instMag.f
1C30,SRC 2 Three Phase Apparent Power,ACsrcMMXU2.TotVA.instMag.f
1C38,SRC 2 Three Phase Power Factor,ACsrcMMXU2.TotPF.instMag.f
1D82,SRC 2 Frequency,ACsrcMMXU2.Hz.instMag.f
1A55,SRC 2 Phase AB Voltage Magnitude,ACsrcMMXU2.PPV.phsAB.instCVal.mag.f
1A57,SRC 2 Phase AB Voltage Angle,ACsrcMMXU2.PPV.phsAB.instCVal.ang.f
1A58,SRC 2 Phase BC Voltage Magnitude,ACsrcMMXU2.PPV.phsBC.instCVal.mag.f
1A5A,SRC 2 Phase BC Voltage Angle,ACsrcMMXU2.PPV.phsBC.instCVal.ang.f
1A5B,SRC 2 Phase CA Voltage Magnitude,ACsrcMMXU2.PPV.phsCA.instCVal.mag.f
1A5D,SRC 2 Phase CA Voltage Angle,ACsrcMMXU2.PPV.phsCA.instCVal.ang.f
1A4F,SRC 2 Phase AB Voltage RMS,ACsrcMMXU2.VabRMS.instMag.f
1A51,SRC 2 Phase BC Voltage RMS,ACsrcMMXU2.VbcRMS.instMag.f
1A53,SRC 2 Phase CA Voltage RMS,ACsrcMMXU2.VcaRMS.instMag.f
1A46,SRC 2 Phase AG Voltage Magnitude,ACsrcMMXU2.PhV.phsA.instCVal.mag.f
1A48,SRC 2 Phase AG Voltage Angle,ACsrcMMXU2.PhV.phsA.instCVal.ang.f
1A49,SRC 2 Phase BG Voltage Magnitude,ACsrcMMXU2.PhV.phsB.instCVal.mag.f
1A4B,SRC 2 Phase BG Voltage Angle,ACsrcMMXU2.PhV.phsB.instCVal.ang.f
1A4C,SRC 2 Phase CG Voltage Magnitude,ACsrcMMXU2.PhV.phsC.instCVal.mag.f
1A4E,SRC 2 Phase CG Voltage Angle,ACsrcMMXU2.PhV.phsC.instCVal.ang.f
1A40,SRC 2 Phase AG Voltage RMS,ACsrcMMXU2.VaRMS.instMag.f
1A42,SRC 2 Phase BG Voltage RMS,ACsrcMMXU2.VbRMS.instMag.f
1A44,SRC 2 Phase CG Voltage RMS,ACsrcMMXU2.VcRMS.instMag.f
1848,SRC 2 Phase A Current Magnitude,ACsrcMMXU2.A.phsA.instCVal.mag.f
184A,SRC 2 Phase A Current Angle,ACsrcMMXU2.A.phsA.instCVal.ang.f
184B,SRC 2 Phase B Current Magnitude,ACsrcMMXU2.A.phsB.instCVal.mag.f
184D,SRC 2 Phase B Current Angle,ACsrcMMXU2.A.phsB.instCVal.ang.f
184E,SRC 2 Phase C Current Magnitude,ACsrcMMXU2.A.phsC.instCVal.mag.f
1850,SRC 2 Phase C Current Angle,ACsrcMMXU2.A.phsC.instCVal.ang.f
1851,SRC 2 Neutral Current Magnitude,ACsrcMMXU2.A.res.instCVal.mag.f
1853,SRC 2 Neutral Current Angle,ACsrcMMXU2.A.res.instCVal.ang.f
1840,SRC 2 Phase A Current RMS,ACsrcMMXU2.AaRMS.instMag.f
1842,SRC 2 Phase B Current RMS,ACsrcMMXU2.AbRMS.instMag.f
1844,SRC 2 Phase C Current RMS,ACsrcMMXU2.AcRMS.instMag.f
1846,SRC 2 Neutral Current RMS,ACsrcMMXU2.AresRMS.instMag.f
1862,SRC 2 Differential Ground Current Magnitude,ACsrcMMXU2.Adif.instCVal.mag.f
1864,SRC 2 Differential Ground Current Angle,ACsrcMMXU2.Adif.instCVal.ang.f
1C22,SRC 2 Phase A Real Power,ACsrcMMXU2.W.phsA.instCVal.mag.f
1C24,SRC 2 Phase B Real Power,ACsrcMMXU2.W.phsB.instCVal.mag.f
1C26,SRC 2 Phase C Real Power,ACsrcMMXU2.W.phsC.instCVal.mag.f
1C2A,SRC 2 Phase A Reactive Power,ACsrcMMXU2.VAr.phsA.instCVal.mag.f
