0,Off,@Master/LLN0.Zero.mag.f
1A13,SRC 1 Phase CA Voltage RMS,@Meter/ACsrcMMXU1.VcaRMS.instMag.f
1A06,SRC 1 Phase AG Voltage Magnitude,@Meter/ACsrcMMXU1.PhV.phsA.instCVal.mag.f
1A08,SRC 1 Phase AG Voltage Angle,@Meter/ACsrcMMXU1.PhV.phsA.instCVal.ang.f
1A09,SRC 1 Phase BG Voltage Magnitude,@Meter/ACsrcMMXU1.PhV.phsB.instCVal.mag.f
1A0B,SRC 1 Phase BG Voltage Angle,@Meter/ACsrcMMXU1.PhV.phsB.instCVal.ang.f
1A0C,SRC 1 Phase CG Voltage Magnitude,@Meter/ACsrcMMXU1.PhV.phsC.instCVal.mag.f
1A0E,SRC 1 Phase CG Voltage Angle,@Meter/ACsrcMMXU1.PhV.phsC.instCVal.ang.f
1A00,SRC 1 Phase AG Voltage RMS,@Meter/ACsrcMMXU1.VaRMS.instMag.f
1A02,SRC 1 Phase BG Voltage RMS,@Meter/ACsrcMMXU1.VbRMS.instMag.f
1A04,SRC 1 Phase CG Voltage RMS,@Meter/ACsrcMMXU1.VcRMS.instMag.f
1808,SRC 1 Phase A Current Magnitude,@Meter/ACsrcMMXU1.A.phsA.instCVal.mag.f
180A,SRC 1 Phase A Current Angle,@Meter/ACsrcMMXU1.A.phsA.instCVal.ang.f
180B,SRC 1 Phase B Current Magnitude,@Meter/ACsrcMMXU1.A.phsB.instCVal.mag.f
180D,SRC 1 Phase B Current Angle,@Meter/ACsrcMMXU1.A.phsB.instCVal.ang.f
180E,SRC 1 Phase C Current Magnitude,@Meter/ACsrcMMXU1.A.phsC.instCVal.mag.f
1810,SRC 1 Phase C Current Angle,@Meter/ACsrcMMXU1.A.phsC.instCVal.ang.f
1811,SRC 1 Neutral Current Magnitude,@Meter/ACsrcMMXU1.A.res.instCVal.mag.f
1813,SRC 1 Neutral Current Angle,@Meter/ACsrcMMXU1.A.res.instCVal.ang.f
1800,SRC 1 Phase A Current RMS,@Meter/ACsrcMMXU1.AaRMS.instMag.f
1802,SRC 1 Phase B Current RMS,@Meter/ACsrcMMXU1.AbRMS.instMag.f
1804,SRC 1 Phase C Current RMS,@Meter/ACsrcMMXU1.AcRMS.instMag.f
1806,SRC 1 Neutral Current RMS,@Meter/ACsrcMMXU1.AresRMS.instMag.f
1822,SRC 1 Differential Ground Current Magnitude,@Meter/ACsrcMMXU1.Adif.instCVal.mag.f
1824,SRC 1 Differential Ground Current Angle,@Meter/ACsrcMMXU1.Adif.instCVal.ang.f
1C02,SRC 1 Phase A Real Power,@Meter/ACsrcMMXU1.W.phsA.instCVal.mag.f
1C04,SRC 1 Phase B Real Power,@Meter/ACsrcMMXU1.W.phsB.instCVal.mag.f
1C06,SRC 1 Phase C Real Power,@Meter/ACsrcMMXU1.W.phsC.instCVal.mag.f
1C0A,SRC 1 Phase A Reactive Power,@Meter/ACsrcMMXU1.VAr.phsA.instCVal.mag.f
1C0C,SRC 1 Phase B Reactive Power,@Meter/ACsrcMMXU1.VAr.phsB.instCVal.mag.f
1C0E,SRC 1 Phase C Reactive Power,@Meter/ACsrcMMXU1.VAr.phsC.instCVal.mag.f
1C12,SRC 1 Phase A Apparent Power,@Meter/ACsrcMMXU1.VA.phsA.instCVal.mag.f
1C14,SRC 1 Phase B Apparent Power,@Meter/ACsrcMMXU1.VA.phsB.instCVal.mag.f
1C16,SRC 1 Phase C Apparent Power,@Meter/ACsrcMMXU1.VA.phsC.instCVal.mag.f
1C19,SRC 1 Phase A Power Factor,@Meter/ACsrcMMXU1.PF.phsA.instCVal.mag.f
1C1A,SRC 1 Phase B Power Factor,@Meter/ACsrcMMXU1.PF.phsB.instCVal.mag.f
1C1B,SRC 1 Phase C Power Factor,@Meter/ACsrcMMXU1.PF.phsC.instCVal.mag.f
1C20,SRC 2 Three Phase Real Power,@Meter/ACsrcMMXU2.TotW.instMag.f
1C28,SRC 2 Three Phase Reactive Power,@Meter/ACsrcMMXU2.TotVAr.instMag.f
1C30,SRC 2 Three Phase Apparent Power,@Meter/ACsrcMMXU2.TotVA.instMag.f
1C38,SRC 2 Three Phase Power Factor,@Meter/ACsrcMMXU2.TotPF.instMag.f
1D82,SRC 2 Frequency,@Meter/ACsrcMMXU2.Hz.instMag.f
1A55,SRC 2 Phase AB Voltage Magnitude,@Meter/ACsrcMMXU2.PPV.phsAB.instCVal.mag.f
1A57,SRC 2 Phase AB Voltage Angle,@Meter/ACsrcMMXU2.PPV.phsAB.instCVal.ang.f
1A58,SRC 2 Phase BC Voltage Magnitude,@Meter/ACsrcMMXU2.PPV.phsBC.instCVal.mag.f
1A5A,SRC 2 Phase BC Voltage Angle,@Meter/ACsrcMMXU2.PPV.phsBC.instCVal.ang.f
1A5B,SRC 2 Phase CA Voltage Magnitude,@Meter/ACsrcMMXU2.PPV.phsCA.instCVal.mag.f
1A5D,SRC 2 Phase CA Voltage Angle,@Meter/ACsrcMMXU2.PPV.phsCA.instCVal.ang.f
1A4F,SRC 2 Phase AB Voltage RMS,@Meter/ACsrcMMXU2.VabRMS.instMag.f
1A51,SRC 2 Phase BC Voltage RMS,@Meter/ACsrcMMXU2.VbcRMS.instMag.f
1A53,SRC 2 Phase CA Voltage RMS,@Meter/ACsrcMMXU2.VcaRMS.instMag.f
1A46,SRC 2 Phase AG Voltage Magnitude,@Meter/ACsrcMMXU2.PhV.phsA.instCVal.mag.f
1A48,SRC 2 Phase AG Voltage Angle,@Meter/ACsrcMMXU2.PhV.phsA.instCVal.ang.f
1A49,SRC 2 Phase BG Voltage Magnitude,@Meter/ACsrcMMXU2.PhV.phsB.instCVal.mag.f
1A4B,SRC 2 Phase BG Voltage Angle,@Meter/ACsrcMMXU2.PhV.phsB.instCVal.ang.f
1A4C,SRC 2 Phase CG Voltage Magnitude,@Meter/ACsrcMMXU2.PhV.phsC.instCVal.mag.f
1A4E,SRC 2 Phase CG Voltage Angle,@Meter/ACsrcMMXU2.PhV.phsC.instCVal.ang.f
1A40,SRC 2 Phase AG Voltage RMS,@Meter/ACsrcMMXU2.VaRMS.instMag.f
1A42,SRC 2 Phase BG Voltage RMS,@Meter/ACsrcMMXU2.VbRMS.instMag.f
1A44,SRC 2 Phase CG Voltage RMS,@Meter/ACsrcMMXU2.VcRMS.instMag.f
1848,SRC 2 Phase A Current Magnitude,@Meter/ACsrcMMXU2.A.phsA.instCVal.mag.f
184A,SRC 2 Phase A Current Angle,@Meter/ACsrcMMXU2.A.phsA.instCVal.ang.f
184B,SRC 2 Phase B Current Magnitude,@Meter/ACsrcMMXU2.A.phsB.instCVal.mag.f
184D,SRC 2 Phase B Current Angle,@Meter/ACsrcMMXU2.A.phsB.instCVal.ang.f
184E,SRC 2 Phase C Current Magnitude,@Meter/ACsrcMMXU2.A.phsC.instCVal.mag.f
1850,SRC 2 Phase C Current Angle,@Meter/ACsrcMMXU2.A.phsC.instCVal.ang.f
1851,SRC 2 Neutral Current Magnitude,@Meter/ACsrcMMXU2.A.res.instCVal.mag.f
1853,SRC 2 Neutral Current Angle,@Meter/ACsrcMMXU2.A.res.instCVal.ang.f
1840,SRC 2 Phase A Current RMS,@Meter/ACsrcMMXU2.AaRMS.instMag.f
1842,SRC 2 Phase B Current RMS,@Meter/ACsrcMMXU2.AbRMS.instMag.f
1844,SRC 2 Phase C Current RMS,@Meter/ACsrcMMXU2.AcRMS.instMag.f
1846,SRC 2 Neutral Current RMS,@Meter/ACsrcMMXU2.AresRMS.instMag.f
1862,SRC 2 Differential Ground Current Magnitude,@Meter/ACsrcMMXU2.Adif.instCVal.mag.f
1864,SRC 2 Differential Ground Current Angle,@Meter/ACsrcMMXU2.Adif.instCVal.ang.f
1C22,SRC 2 Phase A Real Power,@Meter/ACsrcMMXU2.W.phsA.instCVal.mag.f
1C24,SRC 2 Phase B Real Power,@Meter/ACsrcMMXU2.W.phsB.instCVal.mag.f
1C26,SRC 2 Phase C Real Power,@Meter/ACsrcMMXU2.W.phsC.instCVal.mag.f
1C2A,SRC 2 Phase A Reactive Power,@Meter/ACsrcMMXU2.VAr.phsA.instCVal.mag.f
1C2C,SRC 2 Phase B Reactive Power,@Meter/ACsrcMMXU2.VAr.phsB.instCVal.mag.f
1C2E,SRC 2 Phase C Reactive Power,@Meter/ACsrcMMXU2.VAr.phsC.instCVal.mag.f
1C32,SRC 2 Phase A Apparent Power,@Meter/ACsrcMMXU2.VA.phsA.instCVal.mag.f
1C34,SRC 2 Phase B Apparent Power,@Meter/ACsrcMMXU2.VA.phsB.instCVal.mag.f
1C36,SRC 2 Phase C Apparent Power,@Meter/ACsrcMMXU2.VA.phsC.instCVal.mag.f
1C39,SRC 2 Phase A Power Factor,@Meter/ACsrcMMXU2.PF.phsA.instCVal.mag.f
1C3A,SRC 2 Phase B Power Factor,@Meter/ACsrcMMXU2.PF.phsB.instCVal.mag.f
1C3B,SRC 2 Phase C Power Factor,@Meter/ACsrcMMXU2.PF.phsC.instCVal.mag.f
1C40,SRC 3 Three Phase Real Power,@Meter/ACsrcMMXU3.TotW.instMag.f
1C48,SRC 3 Three Phase Reactive Power,@Meter/ACsrcMMXU3.TotVAr.instMag.f
1C50,SRC 3 Three Phase Apparent Power,@Meter/ACsrcMMXU3.TotVA.instMag.f
1C58,SRC 3 Three Phase Power Factor,@Meter/ACsrcMMXU3.TotPF.instMag.f
1D84,SRC 3 Frequency,@Meter/ACsrcMMXU3.Hz.instMag.f
1A95,SRC 3 Phase AB Voltage Magnitude,@Meter/ACsrcMMXU3.PPV.phsAB.instCVal.mag.f
1A97,SRC 3 Phase AB Voltage Angle,@Meter/ACsrcMMXU3.PPV.phsAB.instCVal.ang.f
1A98,SRC 3 Phase BC Voltage Magnitude,@Meter/ACsrcMMXU3.PPV.phsBC.instCVal.mag.f
1A9A,SRC 3 Phase BC Voltage Angle,@Meter/ACsrcMMXU3.PPV.phsBC.instCVal.ang.f
1A9B,SRC 3 Phase CA Voltage Magnitude,@Meter/ACsrcMMXU3.PPV.phsCA.instCVal.mag.f
1A9D,SRC 3 Phase CA Voltage Angle,@Meter/ACsrcMMXU3.PPV.phsCA.instCVal.ang.f
1A8F,SRC 3 Phase AB Voltage RMS,@Meter/ACsrcMMXU3.VabRMS.instMag.f
1A91,SRC 3 Phase BC Voltage RMS,@Meter/ACsrcMMXU3.VbcRMS.instMag.f
1A93,SRC 3 Phase CA Voltage RMS,@Meter/ACsrcMMXU3.VcaRMS.instMag.f
1A86,SRC 3 Phase AG Voltage Magnitude,@Meter/ACsrcMMXU3.PhV.phsA.instCVal.mag.f
1A88,SRC 3 Phase AG Voltage Angle,@Meter/ACsrcMMXU3.PhV.phsA.instCVal.ang.f
1A89,SRC 3 Phase BG Voltage Magnitude,@Meter/ACsrcMMXU3.PhV.phsB.instCVal.mag.f
1A8B,SRC 3 Phase BG Voltage Angle,@Meter/ACsrcMMXU3.PhV.phsB.instCVal.ang.f
1A8C,SRC 3 Phase CG Voltage Magnitude,@Meter/ACsrcMMXU3.PhV.phsC.instCVal.mag.f
1A8E,SRC 3 Phase CG Voltage Angle,@Meter/ACsrcMMXU3.PhV.phsC.instCVal.ang.f
1A80,SRC 3 Phase AG Voltage RMS,@Meter/ACsrcMMXU3.VaRMS.instMag.f
1A82,SRC 3 Phase BG Voltage RMS,@Meter/ACsrcMMXU3.VbRMS.instMag.f
1A84,SRC 3 Phase CG Voltage RMS,@Meter/ACsrcMMXU3.VcRMS.instMag.f
1888,SRC 3 Phase A Current Magnitude,@Meter/ACsrcMMXU3.A.phsA.instCVal.mag.f
188A,SRC 3 Phase A Current Angle,@Meter/ACsrcMMXU3.A.phsA.instCVal.ang.f
188B,SRC 3 Phase B Current Magnitude,@Meter/ACsrcMMXU3.A.phsB.instCVal.mag.f
188D,SRC 3 Phase B Current Angle,@Meter/ACsrcMMXU3.A.phsB.instCVal.ang.f
188E,SRC 3 Phase C Current Magnitude,@Meter/ACsrcMMXU3.A.phsC.instCVal.mag.f
1890,SRC 3 Phase C Current Angle,@Meter/ACsrcMMXU3.A.phsC.instCVal.ang.f
1891,SRC 3 Neutral Current Magnitude,@Meter/ACsrcMMXU3.A.res.instCVal.mag.f
1893,SRC 3 Neutral Current Angle,@Meter/ACsrcMMXU3.A.res.instCVal.ang.f
1880,SRC 3 Phase A Current RMS,@Meter/ACsrcMMXU3.AaRMS.instMag.f
1882,SRC 3 Phase B Current RMS,@Meter/ACsrcMMXU3.AbRMS.instMag.f
