0,Off,@Master/LLN0.Zero.mag.f
1D34,SRC 4 Positive Varhour,@Meter/EnrMtrMMTR4.PosTotVArh.instMag.f
1D36,SRC 4 Negative Varhour,@Meter/EnrMtrMMTR4.NegTotVArh.instMag.f
1D40,SRC 5 Positive Watthour,@Meter/EnrMtrMMTR5.PosTotWh.instMag.f
1D42,SRC 5 Negative Watthour,@Meter/EnrMtrMMTR5.NegTotWh.instMag.f
1D44,SRC 5 Positive Varhour,@Meter/EnrMtrMMTR5.PosTotVArh.instMag.f
1D46,SRC 5 Negative Varhour,@Meter/EnrMtrMMTR5.NegTotVArh.instMag.f
1D50,SRC 6 Positive Watthour,@Meter/EnrMtrMMTR6.PosTotWh.instMag.f
1D52,SRC 6 Negative Watthour,@Meter/EnrMtrMMTR6.NegTotWh.instMag.f
1D54,SRC 6 Positive Varhour,@Meter/EnrMtrMMTR6.PosTotVArh.instMag.f
1D56,SRC 6 Negative Varhour,@Meter/EnrMtrMMTR6.NegTotVArh.instMag.f
9900,FlexElement 1 Actual,@Gen/FlxElGAPC1.OpSig.instMag.f
9902,FlexElement 2 Actual,@Gen/FlxElGAPC2.OpSig.instMag.f
9904,FlexElement 3 Actual,@Gen/FlxElGAPC3.OpSig.instMag.f
9906,FlexElement 4 Actual,@Gen/FlxElGAPC4.OpSig.instMag.f
9908,FlexElement 5 Actual,@Gen/FlxElGAPC5.OpSig.instMag.f
990A,FlexElement 6 Actual,@Gen/FlxElGAPC6.OpSig.instMag.f
990C,FlexElement 7 Actual,@Gen/FlxElGAPC7.OpSig.instMag.f
990E,FlexElement 8 Actual,@Gen/FlxElGAPC8.OpSig.instMag.f
9910,FlexElement 9 Actual,@Gen/FlxElGAPC9.OpSig.instMag.f
9912,FlexElement 10 Actual,@Gen/FlxElGAPC10.OpSig.instMag.f
9914,FlexElement 11 Actual,@Gen/FlxElGAPC11.OpSig.instMag.f
9916,FlexElement 12 Actual,@Gen/FlxElGAPC12.OpSig.instMag.f
9918,FlexElement 13 Actual,@Gen/FlxElGAPC13.OpSig.instMag.f
991A,FlexElement 14 Actual,@Gen/FlxElGAPC14.OpSig.instMag.f
991C,FlexElement 15 Actual,@Gen/FlxElGAPC15.OpSig.instMag.f
991E,FlexElement 16 Actual,@Gen/FlxElGAPC16.OpSig.instMag.f
2301,Transformer Differential Phasor Iad Magnitude,@Prot/PctDifPDIF1.DifAClc.phsA.instCVal.mag.f
2309,Transformer Differential Phasor Ibd Magnitude,@Prot/PctDifPDIF1.DifAClc.phsB.instCVal.mag.f
2311,Transformer Differential Phasor Icd Magnitude,@Prot/PctDifPDIF1.DifAClc.phsC.instCVal.mag.f
2302,Transformer Differential Phasor Iad Angle,@Prot/PctDifPDIF1.DifAClc.phsA.instCVal.ang.f
230A,Transformer Differential Phasor Ibd Angle,@Prot/PctDifPDIF1.DifAClc.phsB.instCVal.ang.f
2312,Transformer Differential Phasor Icd Angle,@Prot/PctDifPDIF1.DifAClc.phsC.instCVal.ang.f
2305,Transformer Differential 2nd Harm Iad Magnitude,@Prot/PctDifPDIF1.DifA2ndH.phsA.instCVal.mag.f
230D,Transformer Differential 2nd Harm Ibd Magnitude,@Prot/PctDifPDIF1.DifA2ndH.phsB.instCVal.mag.f
2315,Transformer Differential 2nd Harm Icd Magnitude,@Prot/PctDifPDIF1.DifA2ndH.phsC.instCVal.mag.f
2306,Transformer Differential 2nd Harm Iad Angle,@Prot/PctDifPDIF1.DifA2ndH.phsA.instCVal.ang.f
230E,Transformer Differential 2nd Harm Ibd Angle,@Prot/PctDifPDIF1.DifA2ndH.phsB.instCVal.ang.f
2316,Transformer Differential 2nd Harm Icd Angle,@Prot/PctDifPDIF1.DifA2ndH.phsC.instCVal.ang.f
2307,Transformer Differential 5th Harm Iad Magnitude,@Prot/PctDifPDIF1.DifA5thH.phsA.instCVal.mag.f
230F,Transformer Differential 5th Harm Ibd Magnitude,@Prot/PctDifPDIF1.DifA5thH.phsB.instCVal.mag.f
2317,Transformer Differential 5th Harm Icd Magnitude,@Prot/PctDifPDIF1.DifA5thH.phsC.instCVal.mag.f
2308,Transformer Differential 5th Harm Iad Angle,@Prot/PctDifPDIF1.DifA5thH.phsA.instCVal.ang.f
2310,Transformer Differential 5th Harm Ibd Angle,@Prot/PctDifPDIF1.DifA5thH.phsB.instCVal.ang.f
2318,Transformer Differential 5th Harm Icd Angle,@Prot/PctDifPDIF1.DifA5thH.phsC.instCVal.ang.f
2330,Transformer Top Oil Temperature,@Ctrl/HPTmpSPTR1.ToOilTmp.instMag.f
2331,Transformer Hottest Spot Temperature,@Ctrl/HPTmpSPTR1.HPTmpClc.instMag.f
2332,Transformer Aging Factor,@Ctrl/AgeSPTR1.AgeRte.instMag.f
2333,Transformer Daily Loss Of Life,@Ctrl/LosLifSPTR1.LosLifeRte.instMag.f
2335,Transformer Loss Of Life,@Ctrl/LosLifSPTR1.LosLife.instMag.f

2303,Transformer Restraint Phasor Iar Magnitude,@Prot/PctDifPDIF1.RstA.phsA.instCVal.mag.f
2304,Transformer Restraint Phasor Iar Angle,@Prot/PctDifPDIF1.RstA.phsA.instCVal.ang.f
230B,Transformer Restraint Phasor Ibr Magnitude,@Prot/PctDifPDIF1.RstA.phsB.instCVal.mag.f
230C,Transformer Restraint Phasor Ibr Angle,@Prot/PctDifPDIF1.RstA.phsB.instCVal.ang.f
2313,Transformer Restraint Phasor Icr Magnitude,@Prot/PctDifPDIF1.RstA.phsC.instCVal.mag.f
2314,Transformer Restraint Phasor Icr Angle,@Prot/PctDifPDIF1.RstA.phsC.instCVal.ang.f

21D0,B90 Bus Zone 1 DMag,@Prot/B_DifPDIF1.BDifAClc.instCVal.mag.f
21D5,B90 Bus Zone 1 RMag,@Prot/B_DifPDIF1.BRstA.instCVal.mag.f
21DE,B90 Bus Zone 2 DMag,@Prot/B_DifPDIF2.BDifAClc.instCVal.mag.f
21E3,B90 Bus Zone 2 RMag,@Prot/B_DifPDIF2.BRstA.instCVal.mag.f
21EC,B90 Bus Zone 3 DMag,@Prot/B_DifPDIF3.BDifAClc.instCVal.mag.f
21F1,B90 Bus Zone 3 RMag,@Prot/B_DifPDIF3.BRstA.instCVal.mag.f
21FA,B90 Bus Zone 4 DMag,@Prot/B_DifPDIF4.BDifAClc.instCVal.mag.f
21FF,B90 Bus Zone 4 RMag,@Prot/B_DifPDIF4.BRstA.instCVal.mag.f
2208,B90 Bus Zone 5 DMag,@Prot/B_DifPDIF5.BDifAClc.instCVal.mag.f
220D,B90 Bus Zone 5 RMag,@Prot/B_DifPDIF5.BRstA.instCVal.mag.f
2216,B90 Bus Zone 6 DMag,@Prot/B_DifPDIF6.BDifAClc.instCVal.mag.f
221B,B90 Bus Zone 6 RMag,@Prot/B_DifPDIF6.BRstA.instCVal.mag.f

21D4,B90 Bus Zone Diff Angle,@Prot/B_DifPDIF1.BDifAClc.instCVal.ang.f
21D7,B90 Bus Zone Rest Angle,@Prot/B_DifPDIF1.BRstA.instCVal.ang.f
21E2,B90 Bus Zone Diff Angle,@Prot/B_DifPDIF2.BDifAClc.instCVal.ang.f
21E5,B90 Bus Zone Rest Angle,@Prot/B_DifPDIF2.BRstA.instCVal.ang.f
21F0,B90 Bus Zone Diff Angle,@Prot/B_DifPDIF3.BDifAClc.instCVal.ang.f
21F3,B90 Bus Zone Rest Angle,@Prot/B_DifPDIF3.BRstA.instCVal.ang.f
21FE,B90 Bus Zone Diff Angle,@Prot/B_DifPDIF4.BDifAClc.instCVal.ang.f
2201,B90 Bus Zone Rest Angle,@Prot/B_DifPDIF4.BRstA.instCVal.ang.f
220C,B90 Bus Zone Diff Angle,@Prot/B_DifPDIF5.BDifAClc.instCVal.ang.f
220F,B90 Bus Zone Rest Angle,@Prot/B_DifPDIF5.BRstA.instCVal.ang.f
221A,B90 Bus Zone Diff Angle,@Prot/B_DifPDIF6.BDifAClc.instCVal.ang.f
221D,B90 Bus Zone Rest Angle,@Prot/B_DifPDIF6.BRstA.instCVal.ang.f

6F00,TRM 1 Current Magnitude,@Meter/B_AmpMMXN1.ChA.instCVal.mag.f
6F03,TRM 2 Current Magnitude,@Meter/B_AmpMMXN2.ChA.instCVal.mag.f
6F06,TRM 3 Current Magnitude,@Meter/B_AmpMMXN3.ChA.instCVal.mag.f
6F09,TRM 4 Current Magnitude,@Meter/B_AmpMMXN4.ChA.instCVal.mag.f
6F0C,TRM 5 Current Magnitude,@Meter/B_AmpMMXN5.ChA.instCVal.mag.f
6F0F,TRM 6 Current Magnitude,@Meter/B_AmpMMXN6.ChA.instCVal.mag.f
6F12,TRM 7 Current Magnitude,@Meter/B_AmpMMXN7.ChA.instCVal.mag.f
6F15,TRM 8 Current Magnitude,@Meter/B_AmpMMXN8.ChA.instCVal.mag.f
6F18,TRM 9 Current Magnitude,@Meter/B_AmpMMXN9.ChA.instCVal.mag.f
6F1B,TRM 10 Current Magnitude,@Meter/B_AmpMMXN10.ChA.instCVal.mag.f
6F1E,TRM 11 Current Magnitude,@Meter/B_AmpMMXN11.ChA.instCVal.mag.f
6F21,TRM 12 Current Magnitude,@Meter/B_AmpMMXN12.ChA.instCVal.mag.f
6F24,TRM 13 Current Magnitude,@Meter/B_AmpMMXN13.ChA.instCVal.mag.f
6F27,TRM 14 Current Magnitude,@Meter/B_AmpMMXN14.ChA.instCVal.mag.f
6F2A,TRM 15 Current Magnitude,@Meter/B_AmpMMXN15.ChA.instCVal.mag.f
6F2D,TRM 16 Current Magnitude,@Meter/B_AmpMMXN16.ChA.instCVal.mag.f
6F30,TRM 17 Current Magnitude,@Meter/B_AmpMMXN17.ChA.instCVal.mag.f
6F33,TRM 18 Current Magnitude,@Meter/B_AmpMMXN18.ChA.instCVal.mag.f
6F36,TRM 19 Current Magnitude,@Meter/B_AmpMMXN19.ChA.instCVal.mag.f
6F39,TRM 20 Current Magnitude,@Meter/B_AmpMMXN20.ChA.instCVal.mag.f
6F3C,TRM 21 Current Magnitude,@Meter/B_AmpMMXN21.ChA.instCVal.mag.f
6F3F,TRM 22 Current Magnitude,@Meter/B_AmpMMXN22.ChA.instCVal.mag.f
6F42,TRM 23 Current Magnitude,@Meter/B_AmpMMXN23.ChA.instCVal.mag.f
6F45,TRM 24 Current Magnitude,@Meter/B_AmpMMXN24.ChA.instCVal.mag.f

6F48,TRM 1 Voltage Magnitude,@Meter/B_VolMMXN1.ChV.instCVal.mag.f
6F4B,TRM 2 Voltage Magnitude,@Meter/B_VolMMXN2.ChV.instCVal.mag.f
6F4E,TRM 3 Voltage Magnitude,@Meter/B_VolMMXN3.ChV.instCVal.mag.f
6F51,TRM 4 Voltage Magnitude,@Meter/B_VolMMXN4.ChV.instCVal.mag.f
6F54,TRM 5 Voltage Magnitude,@Meter/B_VolMMXN5.ChV.instCVal.mag.f
6F57,TRM 6 Voltage Magnitude,@Meter/B_VolMMXN6.ChV.instCVal.mag.f
6F5A,TRM 7 Voltage Magnitude,@Meter/B_VolMMXN7.ChV.instCVal.mag.f
6F5D,TRM 8 Voltage Magnitude,@Meter/B_VolMMXN8.ChV.instCVal.mag.f
6F60,TRM 9 Voltage Magnitude,@Meter/B_VolMMXN9.ChV.instCVal.mag.f
6F63,TRM 10 Voltage Magnitude,@Meter/B_VolMMXN10.ChV.instCVal.mag.f
6F66,TRM 11 Voltage Magnitude,@Meter/B_VolMMXN11.ChV.instCVal.mag.f
6F69,TRM 12 Voltage Magnitude,@Meter/B_VolMMXN12.ChV.instCVal.mag.f

6F02,TRM 1 Current Angle,@Meter/B_AmpMMXN1.ChA.instCVal.ang.f
6F05,TRM 2 Current Angle,@Meter/B_AmpMMXN2.ChA.instCVal.ang.f
6F08,TRM 3 Current Angle,@Meter/B_AmpMMXN3.ChA.instCVal.ang.f
6F0B,TRM 4 Current Angle,@Meter/B_AmpMMXN4.ChA.instCVal.ang.f
6F0E,TRM 5 Current Angle,@Meter/B_AmpMMXN5.ChA.instCVal.ang.f
6F11,TRM 6 Current Angle,@Meter/B_AmpMMXN6.ChA.instCVal.ang.f
6F14,TRM 7 Current Angle,@Meter/B_AmpMMXN7.ChA.instCVal.ang.f
6F17,TRM 8 Current Angle,@Meter/B_AmpMMXN8.ChA.instCVal.ang.f
6F1A,TRM 9 Current Angle,@Meter/B_AmpMMXN9.ChA.instCVal.ang.f
6F1D,TRM 10 Current Angle,@Meter/B_AmpMMXN10.ChA.instCVal.ang.f
6F20,TRM 11 Current Angle,@Meter/B_AmpMMXN11.ChA.instCVal.ang.f
6F23,TRM 12 Current Angle,@Meter/B_AmpMMXN12.ChA.instCVal.ang.f
6F26,TRM 13 Current Angle,@Meter/B_AmpMMXN13.ChA.instCVal.ang.f
6F29,TRM 14 Current Angle,@Meter/B_AmpMMXN14.ChA.instCVal.ang.f
6F2C,TRM 15 Current Angle,@Meter/B_AmpMMXN15.ChA.instCVal.ang.f
6F2F,TRM 16 Current Angle,@Meter/B_AmpMMXN16.ChA.instCVal.ang.f
6F32,TRM 17 Current Angle,@Meter/B_AmpMMXN17.ChA.instCVal.ang.f
6F35,TRM 18 Current Angle,@Meter/B_AmpMMXN18.ChA.instCVal.ang.f
6F38,TRM 19 Current Angle,@Meter/B_AmpMMXN19.ChA.instCVal.ang.f
6F3B,TRM 20 Current Angle,@Meter/B_AmpMMXN20.ChA.instCVal.ang.f
6F3E,TRM 21 Current Angle,@Meter/B_AmpMMXN21.ChA.instCVal.ang.f
6F41,TRM 22 Current Angle,@Meter/B_AmpMMXN22.ChA.instCVal.ang.f
6F44,TRM 23 Current Angle,@Meter/B_AmpMMXN23.ChA.instCVal.ang.f
6F47,TRM 24 Current Angle,@Meter/B_AmpMMXN24.ChA.instCVal.ang.f

6F4A,TRM 1 Voltage Angle,@Meter/B_VolMMXN1.ChV.instCVal.ang.f
6F4D,TRM 2 Voltage Angle,@Meter/B_VolMMXN2.ChV.instCVal.ang.f
6F50,TRM 3 Voltage Angle,@Meter/B_VolMMXN3.ChV.instCVal.ang.f
6F53,TRM 4 Voltage Angle,@Meter/B_VolMMXN4.ChV.instCVal.ang.f
6F56,TRM 5 Voltage Angle,@Meter/B_VolMMXN5.ChV.instCVal.ang.f
6F59,TRM 6 Voltage Angle,@Meter/B_VolMMXN6.ChV.instCVal.ang.f
6F5C,TRM 7 Voltage Angle,@Meter/B_VolMMXN7.ChV.instCVal.ang.f
6F5F,TRM 8 Voltage Angle,@Meter/B_VolMMXN8.ChV.instCVal.ang.f
6F62,TRM 9 Voltage Angle,@Meter/B_VolMMXN9.ChV.instCVal.ang.f
6F65,TRM 10 Voltage Angle,@Meter/B_VolMMXN10.ChV.instCVal.ang.f
6F68,TRM 11 Voltage Angle,@Meter/B_VolMMXN11.ChV.instCVal.ang.f
6F6B,TRM 12 Voltage Angle,@Meter/B_VolMMXN12.ChV.instCVal.ang.f

6FD0,Terminal Frequency,@Meter/B_FrqMMXN1.Hz.instMag.f
6FD1,Terminal Tracking Frequency,@Meter/B_FrqMMXN1.TrcHz.instMag.f
